3-2-1ルール	バックアップを3つ保持し、2種類の媒体に分け、1つは別場所に置く考え方。　用例：『バックアップは3-2-1ルールで運用する』	BCP
ABAC	ABACはAttribute-Based Access Control（アトリビュート・ベースド・アクセス・コントロール：属性ベースアクセス制御）の略。 属性（部署、時間、端末状態等）で許可を決めるアクセス制御方式。　用例：『ABACで部署や時間帯に応じたアクセス制御を行う』	認証
ACL	ACLはAccess Control List（アクセス・コントロール・リスト：アクセス制御リスト）の略。 資源ごとに許可/拒否の一覧を持つアクセス制御方式。　用例：『ACLで共有フォルダの参照/更新権限を設定する』	認証
APT	APTはAdvanced Persistent Threat（高度で持続的な攻撃）の略。 長期間潜伏し情報窃取等を狙う高度な攻撃。　用例：『APTを想定してログ監視と権限管理を強化する』	攻撃
ARP	ARPはAddress Resolution Protocol（アドレス・レゾリューション・プロトコル：IP→MAC変換）の略。 IPアドレスからMACアドレスを得る仕組み（LAN内）。　用例：『LAN内でARPの解決ができているか確認する』	ネットワーク
ARPスプーフィング	ARP情報を偽装しLAN内で盗聴やMITMを行う攻撃。　用例：『ARPスプーフィング対策としてスイッチの機能や監視を見直す』	攻撃
BCP	BCPはBusiness Continuity Plan（ビジネス・コンティニュイティ・プラン：事業継続計画）の略。 Business Continuity Plan。災害や事故があっても重要業務を続ける計画。　用例：『BCPに基づいて災害時の優先業務と連絡手順を確認する』	BCP
BEC	BECはBusiness Email Compromise（ビジネスメール詐欺）の略。 取引先等を装い送金をだまし取る詐欺。　用例：『BEC対策として送金先変更は別経路で確認する』	攻撃
BIA	BIAはBusiness Impact Analysis（ビジネス・インパクト・アナリシス：事業影響分析）の略。 業務影響分析。止まると困る業務と許容停止時間を整理する。　用例：『BIAで「止められない業務」と許容停止時間を整理する』	BCP
CA	CAはCertification Authority（サーティフィケーション・オーソリティ：認証局）の略。 認証局。証明書を発行し正しさを保証する組織/機関。　用例：『CAが発行した証明書を信頼の起点として扱う』	暗号
CAPTCHA	人間かボットかを判定し自動攻撃を抑止する仕組み。　用例：『CAPTCHAを実施して被害を減らす』	対策
CASB	CASBはCloud Access Security Broker（クラウド・アクセス・セキュリティ・ブローカー：クラウド利用の仲介型セキュリティ）の略。 クラウド利用の可視化・制御・保護を行う仕組み。　用例：『クラウド環境でCASBを設定・確認する』	クラウド
CIA（機密性・完全性・可用性）	CIAはC=Confidentiality（コンフィデンシャリティ：機密性）、I=Integrity（インテグリティ：完全性）、A=Availability（アベイラビリティ：可用性）の頭文字。 情報セキュリティの基本3要素。機密性=漏れない、完全性=改ざんされない、可用性=使える。　用例：『基礎知識としてCIA（機密性・完全性・可用性）を押さえる』	基礎
